Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2019-01-11,234.93785095214844,234.96506482364512,233.16886625133859,233.7585185901058,73858100
2019-01-14,233.50450134277344,234.3209451306262,232.60641594458608,233.01462399625908,70908200
2019-01-15,236.18067932128906,236.49819296583283,233.87646987416886,233.88555039343038,85208300
2019-01-16,236.7521514892578,237.65023681409102,236.407424039664,236.6160544653096,77636700
2019-01-17,238.54833984375,239.41923904983625,235.8268421148702,235.87221702105543,96118400
2019-01-18,241.72335815429688,242.19510202366033,238.58457266856794,240.38077067256856,127900300
2019-01-22,238.45762634277344,240.45340248995748,236.82473872017377,240.23569152281286,115531200
2019-01-23,238.95660400390625,240.20849753764116,236.46189745565502,239.50090915133575,86030300
2019-01-24,239.0835723876953,239.67325239623838,237.75003734865726,238.7751392902691,59204100
2019-01-25,241.1065673828125,241.9411722459547,239.1833799799942,240.95233698865835,96883400
2019-01-28,239.27413940429688,239.33761999106997,237.4870210798473,238.93849237680587,85613700
2019-01-29,238.95660400390625,239.99075886796348,238.1129462518709,239.4192675318978,66136300
2019-01-30,242.73944091796875,243.59217908426973,239.7185906325241,240.4896871894354,92473700
2019-01-31,244.87132263183594,245.36120004529675,242.4582576423199,242.67599631747498,104012100
2019-02-01,244.98922729492188,246.0234097371586,244.19091685203884,245.07086890596577,85782500
2019-02-04,246.71290588378906,246.77641416049826,244.35426828536174,245.03464291849377,60744800
2019-02-05,247.74705505371094,248.05548819014052,246.6403113596937,247.1483221355202,79552800
2019-02-06,247.42037963867188,247.96468462962602,246.6765247583531,247.46575453721078,58347800
2019-02-07,245.06179809570312,246.34087759273785,243.38353572200194,245.78751970808503,95482000
2019-02-08,245.3611602783203,245.46093523802452,242.96622903134696,243.80083383439992,75788900
2019-02-11,245.4972381591797,246.2864680842967,244.9620135856464,246.023409898929,68021400
2019-02-12,248.6542205810547,249.03521481986118,247.0575994692651,247.13018825680692,72270200
2019-02-13,249.46151733398438,250.31425541049035,249.0714426798071,249.49781171806006,65277200
2019-02-14,248.90823364257812,250.05127176326067,247.53840400172913,248.36392845727636,83234400
2019-02-15,251.62057495117188,251.65686933503972,250.49569821179907,250.7043286289066,97088700
2019-02-19,252.05609130859375,252.71830480379947,250.80419773613542,250.8132782556349,59120800
2019-02-20,252.5640869140625,253.02675042858428,251.5117710422047,252.01978178247964,76610800
